date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:08:30	19506/19506	---M-Z	200	added ('OK')	text/html	etag:W/%22639aff7d-4c32%22	https://themewagon.github.io/Industrio/team.html	O:/VS%20CODE/neww/themewagon.github.io/Industrio/team.html	(from https://themewagon.github.io/Industrio/index.html)
04:08:30	12802/12802	---M-Z	200	added ('OK')	text/html	etag:W/%22639aff7d-3202%22	https://themewagon.github.io/Industrio/testimonial.html	O:/VS%20CODE/neww/themewagon.github.io/Industrio/testimonial.html	(from https://themewagon.github.io/Industrio/index.html)
04:08:30	10534/10534	---M-Z	200	added ('OK')	text/html	etag:W/%22639aff7d-2926%22	https://themewagon.github.io/Industrio/404.html	O:/VS%20CODE/neww/themewagon.github.io/Industrio/404.html	(from https://themewagon.github.io/Industrio/index.html)
04:08:31	16879/16879	---M-Z	200	added ('OK')	text/html	etag:W/%22639aff7d-41ef%22	https://themewagon.github.io/Industrio/contact.html	O:/VS%20CODE/neww/themewagon.github.io/Industrio/contact.html	(from https://themewagon.github.io/Industrio/index.html)
04:08:32	129197/129197	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-1f8ad%22	https://themewagon.github.io/Industrio/img/carousel-2.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/carousel-2.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:32	132802/132802	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-206c2%22	https://themewagon.github.io/Industrio/img/carousel-1.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/carousel-1.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:32	23562/23562	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-5c0a%22	https://themewagon.github.io/Industrio/img/about-1.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/about-1.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:33	28383/28383	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-6edf%22	https://themewagon.github.io/Industrio/img/about-2.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/about-2.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:33	53627/53627	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-d17b%22	https://themewagon.github.io/Industrio/img/feature.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/feature.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:33	40682/40682	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-9eea%22	https://themewagon.github.io/Industrio/img/service-2.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/service-2.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:33	46339/46339	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-b503%22	https://themewagon.github.io/Industrio/img/service-1.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/service-1.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:33	35558/35558	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-8ae6%22	https://themewagon.github.io/Industrio/img/service-3.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/service-3.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:34	47319/47319	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-b8d7%22	https://themewagon.github.io/Industrio/img/project-1.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/project-1.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:34	29669/29669	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-73e5%22	https://themewagon.github.io/Industrio/img/project-2.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/project-2.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:34	33139/33139	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-8173%22	https://themewagon.github.io/Industrio/img/project-3.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/project-3.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:35	24913/24913	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-6151%22	https://themewagon.github.io/Industrio/img/project-4.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/project-4.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:35	30296/30296	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-7658%22	https://themewagon.github.io/Industrio/img/project-5.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/project-5.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:35	28212/28212	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-6e34%22	https://themewagon.github.io/Industrio/img/project-6.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/project-6.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:37	22061/22061	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-562d%22	https://themewagon.github.io/Industrio/img/team-2.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/team-2.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:37	28188/28188	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-6e1c%22	https://themewagon.github.io/Industrio/img/team-1.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/team-1.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:37	31352/31352	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-7a78%22	https://themewagon.github.io/Industrio/img/team-3.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/team-3.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:38	5533/5533	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-159d%22	https://themewagon.github.io/Industrio/img/testimonial-2.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/testimonial-2.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:38	5598/5598	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-15de%22	https://themewagon.github.io/Industrio/img/testimonial-3.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/testimonial-3.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:38	4252/4252	---M--	200	added ('OK')	image/jpeg	etag:%22639aff7d-109c%22	https://themewagon.github.io/Industrio/img/testimonial-1.jpg	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/testimonial-1.jpg	(from https://themewagon.github.io/Industrio/index.html)
04:08:40	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	O:/VS%20CODE/neww/code.jquery.com/jquery-3.4.1.min.js	(from https://themewagon.github.io/Industrio/index.html)
04:08:45	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	O:/VS%20CODE/neww/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/Industrio/index.html)
04:08:46	8156/8156	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aff7d-1fdc%22	https://themewagon.github.io/Industrio/lib/wow/wow.min.js	O:/VS%20CODE/neww/themewagon.github.io/Industrio/lib/wow/wow.min.js	(from https://themewagon.github.io/Industrio/index.html)
04:08:47	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aff7d-8fe%22	https://themewagon.github.io/Industrio/lib/easing/easing.min.js	O:/VS%20CODE/neww/themewagon.github.io/Industrio/lib/easing/easing.min.js	(from https://themewagon.github.io/Industrio/index.html)
04:08:48	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aff7d-2344%22	https://themewagon.github.io/Industrio/lib/waypoints/waypoints.min.js	O:/VS%20CODE/neww/themewagon.github.io/Industrio/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/Industrio/index.html)
04:08:48	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aff7d-a70e%22	https://themewagon.github.io/Industrio/lib/owlcarousel/owl.carousel.min.js	O:/VS%20CODE/neww/themewagon.github.io/Industrio/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/Industrio/index.html)
04:08:48	2406/2406	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aff7d-966%22	https://themewagon.github.io/Industrio/lib/counterup/counterup.min.js	O:/VS%20CODE/neww/themewagon.github.io/Industrio/lib/counterup/counterup.min.js	(from https://themewagon.github.io/Industrio/index.html)
04:08:49	2682/2682	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639aff7d-a7a%22	https://themewagon.github.io/Industrio/js/main.js	O:/VS%20CODE/neww/themewagon.github.io/Industrio/js/main.js	(from https://themewagon.github.io/Industrio/index.html)
04:08:49	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	O:/VS%20CODE/neww/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
04:08:50	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	O:/VS%20CODE/neww/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
04:08:50	4976/4976	---M--	200	added ('OK')	image/png	etag:%22639aff7d-1370%22	https://themewagon.github.io/Industrio/lib/owlcarousel/assets/owl.video.play.png	O:/VS%20CODE/neww/themewagon.github.io/Industrio/lib/owlcarousel/assets/owl.video.play.png	(from https://themewagon.github.io/Industrio/lib/owlcarousel/assets/owl.carousel.min.css)
04:08:52	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
